INSTNM,STABBR,MAIN,PREDDEG,CONTROL,CCBASIC,UG12MN,G12MN,PPTUG_EF,COSTT4,C150,CDR2,CDR3,COMP_ORIG_YR4_RT,DEBT_MDN,COMPL_RPY_1YR_RT,PPLUS_PCT_LOW,PPLUS_PCT_HIGH,PLUS_DEBT_INST_MD,PLUS_DEBT_INST_N,PCTPELL,PCTFLOAN,GRAD_DEBT_MDN10YR_SUPP,GRAD_DEBT_MDN,MD_EARN_WNE_P6,PCT10_EARN_WNE_P6,PCT25_EARN_WNE_P6,PCT75_EARN_WNE_P6,PCT90_EARN_WNE_P6,RPY_1YR_RT,RPY_3YR_RT_SUPP,LOAN_YR4_RT,NPT4,WDRAW_ORIG_YR2_RT,RET_FT4,COUNT_NWNE_P6,COUNT_WNE_P6,LOAN_YR4_N,NOLOAN_YR4_N,PELL_YR4_N,NOPELL_YR4_N,SD_EARN_WNE_P10,MN_EARN_WNE_P10,GT_28K_P6,NUM4
Cortiva Institute-Aurora,CO,0,1,3,-2,268,0,0.5543,25200,0.712,0.114,,0.710539846,7600,0.452520088,0,5,5570,280,0.6604,0.8918,80.62907694,7769,20900,3100,11000,32000,44000,0.395531257,0.416213661,0.9167095,23550,0.255487805,0,759,3159,1783,162,1581,364,21900,29100,0.332,91
Dewey University-Manati,PR,0,2,2,26,627,0,0,11220,0.6339,,0.071,0.358176944,4181,,0,5,,,0.9536,0,50.76030574,4891,14800,2200,6800,23300,35200,,,0.0155496,4973,0.454775993,0.6154,2716,3604,29,1836,,,20700,21700,0.18,70
Cortiva Institute-York,PA,0,1,3,-2,135,0,0.5846,22795,0.7182,0.158,0.211,0.59714795,6967,0.378031384,0,5,6325,46,0.6148,0.763,72.30567371,6967,24000,4500,12600,36400,54300,0.323193916,0.351782364,0.8484848,21345,0.286334056,0,163,769,476,85,442,119,28800,34100,0.404,82
Allen School-Phoenix,AZ,0,1,3,10,172,0,0,24184,0.7406,0.168,0.18,0.689561925,9497,0.291909043,10,15,5738,372,0.7442,0.7442,98.59392855,9500,19700,5400,11600,32000,43200,0.245688138,0.281709881,0.9075176,19631,0.203137255,0,366,1858,1678,171,1674,175,22000,31500,0.322,97
Oklahoma Technical College,OK,0,1,2,-2,257,0,0,32637,0.6712,0.075,0.027,0.63,8645,0.426890756,0,5,6236,77,0.6615,0.5953,102.7348736,9899,19500,2400,8300,29100,36100,0.377118644,0.335538184,0.8811111,28745,0.256136606,1,240,1036,793,107,819,81,18600,23300,0.282,62
Midwest Technical Institute-Moline,IL,0,1,3,-2,485,0,0,25750,0.693,0.232,0.195,0.741353383,9131,0.314210833,5,10,4405,574,0.8165,0.9175,98.59392855,9500,22400,4900,12300,34000,45300,0.284872762,0.282807018,0.875188,21022,0.209327163,0.9456,292,1612,2328,332,2409,251,21300,29900,0.357,76
Unitech Training Academy-Alexandria,LA,0,1,3,-2,429,0,0,23516,0.5614,0.26,0.214,0.552595628,7141,0.526717557,5,10,3711,312,0.7739,0.7366,87.94578427,8474,16100,4000,8700,23400,32500,0.46084724,0.395465995,0.840847,19993,0.248587571,0.6727,187,864,1231,233,1414,50,13000,20900,0.153,49
Unitech Training Academy-Lake Charles,LA,0,1,3,-2,396,0,0,24721,0.5381,0.26,0.214,0.552595628,7141,0.526717557,5,10,3711,312,0.8586,0.8258,87.94578427,8474,16100,4000,8700,23400,32500,0.46084724,0.395465995,0.840847,20702,0.248587571,0.4915,187,864,1231,233,1414,50,13000,20900,0.153,97
Aveda Institute-Los Angeles,CA,0,1,3,-2,269,0,0,22133,0.7,0.14,0.113,0.707317073,6333,0.384937239,10,15,10898,167,0.4275,0.487,65.72582627,6333,21000,,11800,34400,,0.379679144,0.426785714,0.9054878,18150,0.235474006,0.7586,,,297,31,234,94,,,0.34,30
UEI College-Riverside,CA,0,1,3,-2,1087,0,0,31047,0.6071,,0.125,0.684774292,9500,,5,10,7770,311,0.7424,0.7599,98.59392855,9500,,,,,,,0.221407226,0.9013007,27064,0.293956044,0.6989,,,1178,129,1211,96,,,,146
WellSpring School of Allied Health-Lawrence,KS,0,2,3,-2,62,0,0,17893,0.9,0.046,0.069,0.68707483,7917,0.546875,0,5,,14,0.6452,0.7903,82.16506656,7917,21900,,8300,33300,,0.4784689,0.531100479,0.8435374,12155,0.164179104,1,31,139,124,23,114,33,,,0.324,5
Manuel and Theresa's School of Hair Design-Victoria,TX,0,1,3,-2,30,0,0,12359,0.9688,0.156,0.105,0.465116279,6812,,0,5,,,0.6333,0.6333,71.98394615,6936,,,,,,0.166666667,0.141025641,0,7968,,0.8333,,,,,,,,,,19
Tricoci University of Beauty Culture-Chicago NE,IL,0,1,3,-2,154,0,0.3059,19861,0.5,0.092,0.118,0.602409639,7307,,10,15,7446,59,0.7273,0.6883,93.40477442,9000,,,,,,0.378151261,0.388429752,0.8855422,15127,0.285714286,0.8889,,,147,19,133,33,,,,14
Los Angeles Pacific University,CA,1,3,2,20,3073,591,0.661,23625,0.2453,0.037,0.03,0.564360771,6082,0.619402985,,,,,0.5431,0.7081,,,42000,9300,23300,66100,83100,0.579739508,0.639824706,0.9347636,20885,0.122783083,0.125,151,1918,2135,149,1332,952,45100,55900,0.689,16
CollegeAmerica-Phoenix,AZ,0,2,2,26,801,0,0,31346,0.3832,0.238,0.185,0.410881801,15974,0.102902375,0,5,,17,0.8496,0.8418,255.5658411,24625,19500,2600,9700,30200,37900,0.077812829,0.11691023,0.9362101,26289,0.441056911,0,108,403,499,34,507,26,23200,26400,0.293,100
Stevens-Henager College,ID,0,2,2,26,147,0,0,31582,0.186,0.238,0.185,0.410881801,15974,0.102902375,0,5,,17,0.7477,0.7748,255.5658411,24625,19500,2600,9700,30200,37900,0.077812829,0.11691023,0.9362101,27463,0.441056911,1,108,403,499,34,507,26,23200,26400,0.293,14
Avalon School of Cosmetology-Phoenix,AZ,0,1,3,-2,563,0,0.4333,16872,0.7528,0.129,0.161,0.652573529,6331,0.405904059,0,10,5150,142,0.6199,0.6039,77.60898923,7478,18500,2800,8700,28600,40600,0.317521781,0.339370829,0.9375,12198,0.27027027,0.8692,80,261,510,34,447,97,17000,23000,0.272,86
Avalon School of Cosmetology-Layton,UT,0,1,3,-2,266,0,0.2071,15994,0.6914,0.129,0.161,0.652573529,6331,0.405904059,0,10,5150,142,0.5865,0.6165,77.60898923,7478,18500,2800,8700,28600,40600,0.317521781,0.339370829,0.9375,11813,0.27027027,0.9375,80,261,510,34,447,97,17000,23000,0.272,39
All-State Career School-Health Sciences,PA,0,1,3,10,569,0,0,23596,0.5497,0.111,0.222,0.703363914,6333,0.261638734,0,5,4179,82,0.8547,0.7346,65.72582627,6333,27100,3900,13100,43500,62900,0.218950064,0.261706222,0.912844,18112,0.242047026,0.6,357,1360,597,57,626,28,29900,41400,0.485,72
Aveda Institute-Des Moines,IA,1,1,3,-2,214,0,0,19072,0.8148,,0.075,0.774193548,10607,0.639705882,15,20,8781,50,0.3785,0.729,124.5396992,12000,,,,,,0.589473684,0.583333333,0,15772,,0.7083,,,,,70,54,,,,31
Fortis Institute-Lawrenceville,NJ,0,1,3,-2,411,0,0,21130,0.5943,0.056,0.203,0.723384895,9467,0.366883117,20,25,6019,484,0.7226,0.6521,98.59392855,9500,26300,4500,14300,36800,44000,0.313580247,0.353808354,0.9463148,17159,0.174887892,0.6735,103,734,1040,59,636,463,19200,29300,0.444,40
Relay Graduate School of Education,NY,1,1,2,32,192,3260,1,0,0,,0.032,,,,0,5,,,0,0.0353,,,,,,,,,,#DIV/0!,0,,0,,,,,,,,,,0
Platt College-Miller-Motte Technical-Macon,GA,0,2,3,10,855,0,0.2783,27697,0.2143,0.142,0.255,0.242798354,9500,0.335518704,0,5,4514,1270,0.6444,0.5988,134.9180075,13000,21400,3000,11100,31600,40400,0.218527683,0.262692484,0.7517147,22204,0.227137177,0.403,504,2249,2192,724,2760,156,18100,27100,0.335,78
International Culinary Center-California,CA,0,1,3,-2,215,0,0.337,53222,0.6452,0.053,0.091,0.884393064,6333,0.793220339,5,10,32197,163,0.1674,0.093,65.72582627,6333,30200,,15300,48300,,0.770897833,0.788161994,0.6878613,42226,0.052910053,1,44,215,119,54,116,57,28100,42300,0.526,5
South University-Savannah Online,GA,0,3,3,26,6489,5608,0.5969,28180,0.0384,0.174,0.116,0.166159696,13786,0.386992275,0,5,9399,627,0.6248,0.6741,261.1805059,25166,26900,7600,14100,43500,74600,0.192723315,0.254758584,0.6722433,22256,0.376405255,0.4375,2704,11327,7072,3448,9160,1360,31500,40200,0.478,28
Fortis College-Montgomery,AL,0,2,3,10,244,0,0,27411,0.3333,0.082,0.205,0.500449236,9499,0.221743811,5,10,5222,295,0.7399,0.7175,98.59392855,9500,17200,3400,10100,25000,31100,0.17282011,0.22402472,0.8903863,21829,0.290039841,0.4667,290,1233,991,122,1040,73,14500,22400,0.184,15
Whitworth University-Adult Degree Programs,WA,0,3,2,22,360,0,0.8537,0,0,0.031,0.02,0.652991453,20500,0.748563218,5,15,30625,288,0.5796,0.7707,269.7114753,25988,35000,9600,22200,48400,63800,0.683158896,0.734246575,0.9589744,0,0.120462046,0,57,783,561,24,312,273,32100,48000,0.631,0
The Santa Barbara and Ventura Colleges of Law at Santa Barbara,CA,0,4,2,31,,86,,0,0,,,,,,,,,,NULL,NULL,,,,,,,,,,#DIV/0!,0,,0,,,,,,,,,,0
Springfield College-Regional Online and Continuing Education,MA,0,3,2,32,1077,411,0.5474,0,0,0.042,0.075,0.581,21914,0.588419405,5,15,29199,319,0.7018,0.8724,269.836015,26000,38500,10900,24300,52500,67400,0.488715634,0.550250289,0.978,0,0.176100629,0,124,1750,978,22,569,431,28800,48500,0.696,0
Marian Health Careers Center-Van Nuys Campus,CA,0,1,3,-2,171,0,0,26440,1,0.069,0.147,0.686046512,10079,0.46875,0,5,12881,31,0.5322,0.5731,116.1851611,11195,43400,10100,24100,53800,87000,0.383084577,0.506912442,0,21942,0.234693878,0.7368,,,,,76,10,33000,60100,0.712,16
Milan Institute-Las Vegas,NV,0,1,3,-2,506,0,0,26338,0.6678,0.202,0.17,0.586544343,6333,0.283333333,0,5,3427,134,0.3636,0.2964,79.80919059,7690,16400,,9300,25800,,0.216821786,0.247606019,0.9186544,21839,0.291775799,0.7455,232,833,1502,133,1537,98,16000,22000,0.208,76
Catholic Distance University,WV,1,3,2,24,137,145,0.8873,0,0,,,,,,0,5,,,0.1124,0.1124,,,,,,,,,,#DIV/0!,0,,0,,,,,,,,,,0
New York School of Esthetics & Day Spa,NY,1,1,3,-2,183,0,0.4359,16805,0,,0.125,,6333,,0,5,,,0.3169,0.2732,,,,,,,,0.588235294,0.666666667,0,14059,,0,,,,,36,11,,,,12
Panache Academy of Beauty,WI,1,1,3,-2,79,0,0.2373,14894,0.871,,0.057,0.736842105,6333,,0,5,,,0.6835,0.6076,105.7964745,10194,,,,,,0.509433962,0.54,0,11859,,0.8,,,,,,,,,,19
Finger Lakes Health College of Nursing & Health Sciences,NY,0,2,2,10,146,0,0.8769,17617,0,0.108,0.128,0.27284264,7835,0.518565941,0,5,5500,109,0.5615,0.8462,124.5396992,12000,25700,,15300,36200,,0.349833987,0.401785714,0.8895939,14789,0.46967655,0.3333,269,2136,701,87,361,427,26100,34300,0.436,6
ASI Career Institute,NJ,1,1,3,-2,194,0,0,15169,0.9954,,0.245,,6333,,0,5,,13,0.2784,0.3041,,,,,,,,0.423076923,0.4,0,10795,,0,,,,,,,,,,53
Midwest Technical Institute-Ridgeland,MS,0,1,3,-2,883,0,0.0687,24646,0.7649,0.232,0.195,0.741353383,9131,0.314210833,5,10,4405,574,0.9026,0.9185,98.59392855,9500,22400,,12300,34000,,0.284872762,0.282807018,0.875188,20317,0.209327163,0.9584,292,1612,2328,332,2409,251,21300,29900,0.357,74
Christine Valmy International School of Esthetics & Cosmetology,NJ,1,1,3,-2,185,0,0.5948,23100,0.8333,,0.12,0.818181818,5077,,0,5,,,0.4541,0.4649,52.70104939,5078,,,,,,0.617283951,0.5625,0.8571429,19229,,0.9231,,,66,11,54,23,,,,4
City College-Hollywood,FL,0,2,2,10,427,0,0.2757,24711,0.1429,0.1,0.048,0.329559748,21300,0.168380463,0,5,7334,125,0.7961,0.8157,285.9016362,27548,23300,,12300,35700,,0.133780992,0.215315763,0.9572327,16934,0.4508519,0.375,179,989,761,34,745,50,22800,31600,0.397,9
Paul Mitchell the School-Arlington,TX,0,1,3,-2,447,0,0.0183,20682,0.5806,0.065,0.084,0.691743119,7789,0.445603577,5,10,6890,143,0.5638,0.5906,98.44863224,9486,22500,,10400,36600,,0.390191898,0.44021164,0.946789,15614,0.188848921,0.7674,102,391,516,29,406,139,27300,32800,0.402,51
Rocky Mountain University of Health Professions,UT,1,4,3,26,,852,,0,0,0,0.007,,,,,,,,NULL,NULL,,,,,,,,,,#DIV/0!,0,,0,,,,,,,,,,0
Christie's Education,NY,1,4,3,30,,83,,0,0,,0,,,,,,,,NULL,NULL,,,,,,,,,,#DIV/0!,0,,0,,,,,,,,,,0
Palmetto Beauty School,SC,1,1,3,-2,29,0,0.0741,22397,0.2258,,0.244,,9500,0.282051282,5,10,,,1,0.8966,,,,,,,,0.203703704,0.192660551,0,18475,0.609756098,0.7333,,,,,,,,,,29
Paul Mitchell the School-Fort Myers,FL,0,1,3,-2,194,0,0.3828,24329,0.68,0.185,0.056,0.696969697,8389,0.532163743,5,10,5000,34,0.5619,0.6443,98.59392855,9500,13100,,6900,21800,,0.435684647,0.421487603,0,21887,,0.6667,31,102,,,135,30,,,0.147,15
Paul Mitchell the School-Raleigh,NC,1,1,3,-2,228,0,0.3161,14869,0.6757,,0.088,0.579545455,9833,0.384615385,0,5,7500,21,0.3991,0.5351,129.7288534,12500,,,,,,0.320895522,0.333333333,0,11896,0.270588235,0.7778,,,,,66,22,,,,26
CUNY Stella and Charles Guttman Community College,NY,1,2,1,1,1171,0,0.1137,13494,0.4312,,0.2,0.509090909,4887,,0,5,,,0.6839,0.046,74.49549675,7178,,,,,,,,0.1181818,5582,0.295918367,0.6348,,,26,194,210,10,,,,354
Lil Lou's Beauty and Barber College LLC,IN,1,1,3,-2,110,0,0.7778,18092,0.3333,,0.142,0.435294118,9500,,0,5,,,0.7182,0.7455,123.0348445,11855,,,,,,,,0.6588235,12809,0.450980392,0,,,56,29,,,,,,4
Criswell College,TX,1,3,2,24,220,85,0.4663,19927,0.1538,,0.112,0.265306122,10100,,0,5,,,0.399,0.4697,173.6706106,16734,,,,,,0.44,,0.7346939,16479,,0.7333,,,36,13,,,,,,7
Beverly Hills Design Institute,CA,1,3,3,30,26,0,0.4444,0,0.375,,0.16,,,,5,10,,,0.5,0.5,,,,,,,,,,#DIV/0!,0,,1,,,,,,,,,,0
Reflections Academy of Beauty,IL,1,1,3,-2,43,0,0.0769,14838,0.7143,,0.138,,9833,,0,5,,,0.6512,0.7907,,,,,,,,0.458333333,,0,10026,,0.25,,,,,,,,,,28
UCAS Univeristy of Cosmetology Arts & Sciences-La Joya,TX,0,1,3,-2,191,0,0.4,19373,0.6667,0.136,0.117,0.601173021,6160,0.415422886,0,10,2644,77,0.1047,0.1099,71.13292487,6854,14700,,9300,22800,,0.331125828,0.345335516,0.8445748,19194,0.285326087,0.8571,187,470,288,53,330,11,13300,18600,0.155,11
Bryant & Stratton College-Akron,OH,0,2,3,26,146,0,0.3984,23548,0.2143,0.176,0.196,0.223848849,9500,0.24356324,0,5,6737,766,0.7614,0.9205,217.0000476,20909,21200,,10800,32600,,0.134977039,0.187316343,0.8931431,10987,0.466563467,0,2031,9472,7138,854,7336,656,20200,26600,0.342,3
Annenberg School of Nursing,CA,1,1,2,-2,20,0,0,23416,0.8,,0.068,,,,0,5,,,0.65,0.75,,,,,,,,,,0,17563,,0,,,,,,,,,,5
American Medical Academy,FL,1,1,3,10,769,0,0.0998,0,0.6061,,0.057,0.75,9500,,0,5,,,0.2263,0.2718,107.9862975,10405,,,,,,0.481481482,0.483870968,0,0,,0.1042,,,,,63,25,,,,0
Tooele Technical College,UT,1,1,1,-2,458,0,0.6804,21334,0.4386,,,,,,,,,,0.2009,0,,,,,,,,,,#DIV/0!,15374,,0.8235,,,,,,,,,,1
Chamberlain University-Georgia,GA,0,3,3,26,1343,0,0.7434,0,0,0.039,0.035,0.467834618,17575,0.622781457,0,5,19938,861,0.5286,0.8355,238.3897409,22970,67100,,49100,87100,,0.541874536,0.595370464,0.9607568,0,0.128436233,0,234,3490,6855,280,3956,3179,33500,60400,0.902,0
Chamberlain University-Indiana,IN,0,3,3,26,291,0,0.5429,26535,0,0.039,0.035,0.467834618,17575,0.622781457,0,5,19938,861,0.5481,0.7644,238.3897409,22970,67100,,49100,87100,,0.541874536,0.595370464,0.9607568,26535,0.128436233,1,234,3490,6855,280,3956,3179,33500,60400,0.902,1
Carrington College-Mesquite,TX,0,2,3,10,153,0,0.125,31554,0.7634,0.085,0.134,0.737196765,12842,0.482954546,0,10,13466,95,0.3333,0.4379,158.2692011,15250,27300,,14900,40300,,0.400479616,0.446624804,0.9407008,27909,0.143051771,0,143,882,698,44,637,105,20000,29700,0.481,27
Sessions College for Professional Design,AZ,1,1,3,12,245,0,0.3922,14399,0.4,,0.157,0.454545455,9500,,0,5,,,0.5725,0.7481,135.5718409,13063,,,,,,,,0,9996,0.333333333,0.5,,,,,32,12,,,,11
Tulsa Welding School-Jacksonville,FL,0,1,3,-2,336,0,0,26405,0.5449,0.147,0.083,0.670598911,6175,0.408362989,10,15,14352,1412,0.4792,0.4673,98.59392855,9500,29800,,14100,47300,,0.3336437,0.327351485,0.8702359,22403,0.259891107,0.6629,498,2472,1918,286,1859,345,32700,42700,0.527,47
Empire Beauty School-Virginia Beach,VA,0,1,3,-2,243,0,0.3652,19965,0.4746,0.095,0.142,0.494572592,7667,0.322072072,5,15,5927,372,0.6132,0.5103,134.9180075,13000,18400,,9600,31600,,0.246455834,0.260495156,0.8738128,15122,0.312945973,0.4138,75,216,1288,186,1322,152,19600,25900,0.296,41
Ross Medical Education Center-Morgantown,WV,0,1,3,-2,90,0,0,23490,0.7105,0.111,0.233,0.77581864,9414,0.304818092,0,5,,13,0.5111,0.5222,98.59392855,9500,21800,,12700,31100,,0.270722434,0.301659125,0.9206549,19804,0.160049628,0.8846,162,688,731,63,691,103,14400,25100,0.347,18
Paul Mitchell the School-Ogden,UT,0,1,3,-2,232,0,0.6692,18800,0.52,0.104,0.145,0.559602649,9500,0.507163324,0,5,,,0.5,0.4397,108.8476971,10488,21700,,8900,33300,,0.390034364,0.401360544,0.8907285,13470,0.275735294,0.8,53,241,269,33,253,49,,,0.378,16
Cortiva Institute-Dallas,TX,0,1,3,-2,430,0,0.4619,27723,0.6593,0.114,,0.710539846,7600,0.452520088,0,5,5570,280,0.8558,0.8791,80.62907694,7769,20900,,11000,32000,,0.395531257,0.416213661,0.9167095,23784,0.255487805,0,759,3159,1783,162,1581,364,21900,29100,0.332,97
Miami Ad School-New York,NY,0,1,3,-2,150,0,0,0,0,0.027,0.088,0.5625,13000,0.724770642,0,5,19054,21,0.0364,0.3727,235.5460845,22696,70900,,47700,101500,,0.657024793,0.731707317,0,0,0.20952381,0,,,,,54,106,54900,92100,0.851,0
Larry's Barber College,IL,1,1,3,-2,197,0,0,18959,0.9,,0.519,,2909,,0,5,,,0.5888,0.2234,31.13492481,3000,,,,,,0.12345679,0.12195122,0.4819277,14009,0.52,0.2222,,,40,43,,,,,,70
Futura Career Institute,FL,1,1,3,-2,278,0,0,22656,0.7991,,,0.861111111,,,,,,,0.8417,0,,,,,,,,,,0,17983,,0.963,,,,,,,,,,46
Flair Beauty College,CA,1,1,3,-2,95,0,0,15187,0.7778,,0.076,,6333,,10,15,6508,22,0.5789,0.6105,68.66288751,6616,,,,,,0.578947368,0.666666667,0,7486,,0.75,,,,,,,,,,13
Vogue College of Cosmetology-San Antonio Fredericksburg,TX,1,1,3,-2,191,0,0.68,13198,0.2222,,0.126,0.6125,5500,0.530612245,0,5,,,0.7906,0.8063,65.72582627,6333,,,,,,0.420454546,0.426966292,0,9396,,0.5952,,,,,,,,,,19
Vogue College of Cosmetology,TX,1,1,3,-2,193,0,0.81,15032,0.5,,0.015,0.576271186,6333,0.34375,0,5,,,0.7409,0.7098,81.73955593,7876,,,,,,0.337837838,0.369863014,0,10647,0.213333333,0.6522,,,,,,,,,,9
Tomorrow's Image Barber And Beauty Academy of Virginia,VA,1,1,3,-2,28,0,0,18165,0.5556,,0.595,,9500,,0,5,,,0.8929,0.6429,134.9180075,13000,,,,,,,,0,12306,,0.6364,,,,,,,,,,19
College of International Esthetics Inc,CO,1,1,3,-2,189,0,0.3782,23937,0.82,,0.136,,7917,0.67768595,0,10,,18,0.381,0.4286,82.16506656,7917,,,,,,0.657894737,0.708609272,0,21392,,0,,,,,44,21,,,,36
Medical Allied Career Center,CA,1,1,3,-2,122,0,0.0641,32175,0.9216,0,0.19,0.5,17130,,0,5,,,0.4344,0.5492,177.7804206,17130,,,,,,0.294117647,0.323529412,0,27641,0.482758621,0.8929,,,,,,,,,,48
Bais HaMedrash and Mesivta of Baltimore,MD,1,3,2,24,77,0,0,21800,0.4118,,,,,,,,,,0.5325,0,,,,,,,,,,0,11150,,0.8,,,,,,,,,,14
Barber & Beauty Institute of New York,NY,1,1,3,-2,109,0,0,15290,0.7143,,0.259,0.723404255,3429,,0,5,,,0.5688,0.5505,36.01272969,3470,,,,,,0.183333333,0.196721312,0,12666,,0,,,,,,,,,,21
Salon Institute-Toledo Campus,OH,1,1,3,-2,137,0,0,17797,0.6279,,0.2,0.7375,12000,,5,10,,16,0.4453,0.6715,124.5396992,12000,,,,,,0.429824561,0.469565217,0.875,15705,,0.8889,,,70,10,63,17,,,,41
Curve Metric School of Hair Design,IL,1,1,3,-2,64,0,0,11026,0.8333,,,,,,,,,,0.3594,0,,,,,,,,,,0,6137,,0.8571,,,,,,,,,,12
Athena Career Academy,OH,1,1,3,-2,434,0,0,24383,0.908,,0.137,0.608465608,12550,0.163636364,0,5,10341,23,0.7074,0.9263,146.5417128,14120,,,,,,0.153846154,0.205240175,0.9470899,20210,0.272727273,0.2911,,,179,10,,,,,,51
Yeshiva Gedolah Zichron Leyma,NJ,1,3,2,24,27,0,0,15070,0,,,,,,,,,,0.4762,0,,,,,,,,,,#DIV/0!,8821,,0.8,,,,,,,,,,3
The Barber School,UT,1,1,3,-2,215,0,0.3557,23401,0.8182,,0.138,0.75,5500,,0,5,,,0.1628,0.186,72.70004942,7005,,,,,,0.445454546,0.424778761,0,19802,,1,,,,,60,12,,,,42
Be'er Yaakov Talmudic Seminary,NY,1,3,2,24,631,0,0,15750,0.5408,,,,,,,,,,0.9294,0,,,,,,,,,,0,1466,,0.9652,,,,,,,,,,101
Rio Grande Valley College,TX,1,1,3,-2,863,0,0,25014,1,,0.167,0.682926829,9998,0.295918367,0,10,4040,65,0.4705,0.4693,136.3190791,13135,,,,,,0.28125,0.335365854,0.9207317,20176,0.147368421,0.7907,,,151,13,152,12,,,,65
Alexander Academy,MA,1,1,3,-2,79,0,0.377,29440,0.6364,,0.283,0.5,9500,,0,10,,,0.3797,0.4051,98.59392855,9500,,,,,,0.235294118,0.263888889,0,24620,,0.2105,,,,,,,,,,30
Aveda Institute-Tucson,AZ,1,1,3,-2,235,0,0.2229,16888,0.7111,,0.1,0.830917874,8027,,5,10,7490,57,0.3745,0.4468,103.9595139,10017,,,,,,0.535087719,0.539823009,0.9516908,14233,0.107623318,0.9286,,,197,10,159,48,,,,19
Ambiance Beauty & Barber Academy Inc,FL,1,1,3,-2,45,0,0.1538,22487,0.7556,,0.128,0.485714286,6417,,0,5,,,0.5778,0.5556,,,,,,,,,,0,19252,,0.45,,,,,,,,,,22
Diamond Beauty College,CA,1,1,3,-2,336,0,0.1053,8243,0.8985,,,,,,,,,,0.2679,0,,,,,,,,,,0,4593,,0.92,,,,,,,,,,35
Unitek College,CA,0,1,3,-2,267,0,0,28710,0.8807,,0.061,,9500,0.620253165,5,15,10895,110,0.9813,1,107.228681,10332,,,,,,0.603053435,0.65648855,0,23805,0.134199134,0.8467,,,,,92,32,,,,260
University Academy of Hair Design,AL,1,1,3,-2,62,0,0,13550,0.8333,,0.117,0.677419355,9500,,0,5,,,0.5968,0.5645,99.89121709,9625,,,,,,0.292682927,0.35,0,9603,,1,,,,,,,,,,6
Florida Institute of Recording Sound and Technology,FL,1,1,3,-2,487,0,1,0,0,,0.069,0.875,4855,0.347457627,5,15,9861,74,0.5175,0.4969,81.50085484,7853,,,,,,0.333333333,0.412121212,0,0,0.12173913,0,,,,,,,,,,0
New Dimensions Beauty Academy Inc,CO,1,1,3,-2,117,0,0.087,16702,0.7143,,0.023,,6333,,0,10,,,0.3333,0.4957,,,,,,,,0.547619048,0.534883721,0,13914,,0.9231,,,,,,,,,,11
Paul Mitchell the School-Reno,NV,1,1,3,-2,299,0,0.1222,20333,0.6552,,0.22,0.649484536,9000,0.51,0,5,,17,0.6254,0.5753,108.9722368,10500,,,,,,0.412087912,0.459016393,0.8969072,16561,0.308333333,0.7241,,,87,10,80,17,,,,40
Boise Barber College,ID,1,1,3,-2,101,0,0,17290,0.7407,,0.1,,9500,,0,5,,,0.505,0.495,98.59392855,9500,,,,,,0.392405063,0.385542169,0,13266,,0.7143,,,,,,,,,,32
Austin Kade Academy,ID,1,1,3,-2,203,0,0,20679,0.7231,,0.25,0.628205128,6333,0.416058394,0,5,,,0.6897,0.6946,65.72582627,6333,,,,,,0.364444444,0.399122807,0,17537,,0.7797,,,,,139,17,,,,65
Aesthetic Science Institute,NY,1,1,3,-2,131,0,0.7222,12488,0.9167,,0.058,,3666,,0,10,5832,20,0.4122,0.4504,,,,,,,,0.621621622,0.649350649,0,10065,,0,,,,,29,23,,,,52
Elaine Sterling Institute,GA,1,1,3,-2,399,0,0.2164,34244,0.8322,,0.156,0.65625,7917,,0,10,6500,28,0.8296,0.8296,98.59392855,9500,,,,,,0.424242424,0.479591837,0,30872,0.152380952,0.8405,,,,,80,16,,,,213
Wade Gordon Hairdressing Academy,TX,1,1,3,-2,145,0,0,21408,0.3273,,0.312,0.484848485,9370,0.352941177,0,5,,,0.5724,0.5034,107.5088954,10359,,,,,,0.309859155,0.314285714,0,17144,,0.6875,,,,,,,,,,47
Mitsu Sato Hair Academy,KS,1,1,3,-2,75,0,0.125,19452,0.6667,,0.155,,8947,,0,5,,,0.2667,0.2533,,9500,,,,,,0.444444444,0.461538462,0,15178,,0.75,,,,,,,,,,10
SAE Institute of Technology-Los Angeles,CA,1,1,3,-2,225,0,0,35941,0.6447,,,0.641025641,6849,0.538461539,5,15,16914,34,0.8578,1,98.59392855,9500,,,,,,0.422535211,0.479452055,0.9017094,31925,0.333333333,0.5352,,,211,23,174,60,,,,188
Florida Vocational Institute,FL,1,1,3,-2,712,0,0,30786,0.8118,,0.064,0.886363636,8699,,0,10,3623,72,0.4174,0.4201,91.92067634,8857,,,,,,0.633333333,0.609375,0,25414,0.223577236,0.7879,,,,,,,,,,120
SAE Institute of Technology-Atlanta,GA,0,2,3,11,970,0,0,19761,0.5546,,0.225,,7424,0.297297297,5,10,15468,399,0.7113,0.6959,101.707421,9800,,,,,,0.22818792,0.245033113,#DIV/0!,17373,,0.1613,,,,,,,,,,312
Academy di Firenze,ID,1,1,3,-2,25,0,0,11277,0.8462,,0.066,,,,,,,,0.4,0,,,,,,,,,,#DIV/0!,7112,,0.8462,,,,,,,,,,6
SAE Institute of Technology-Miami,FL,0,1,3,-2,431,0,0,29416,0.6276,,0.225,,7424,0.301886793,5,10,15468,399,0.6148,0.6891,101.707421,9800,,,,,,0.279279279,0.304347826,#DIV/0!,26360,,0.4956,,,,,,,,,,309
