INSTNM,STABBR,MAIN,PREDDEG,CONTROL,CCBASIC,UG12MN,G12MN,PPTUG_EF,COSTT4,C150,CDR2,CDR3,COMP_ORIG_YR4_RT,DEBT_MDN,COMPL_RPY_1YR_RT,PPLUS_PCT_LOW,PPLUS_PCT_HIGH,PLUS_DEBT_INST_MD,PLUS_DEBT_INST_N,PCTPELL,PCTFLOAN,GRAD_DEBT_MDN10YR_SUPP,GRAD_DEBT_MDN,MD_EARN_WNE_P6,PCT10_EARN_WNE_P6,PCT25_EARN_WNE_P6,PCT75_EARN_WNE_P6,PCT90_EARN_WNE_P6,RPY_1YR_RT,RPY_3YR_RT_SUPP,LOAN_YR4_RT,NPT4,WDRAW_ORIG_YR2_RT,RET_FT4,COUNT_NWNE_P6,COUNT_WNE_P6,LOAN_YR4_N,NOLOAN_YR4_N,PELL_YR4_N,NOPELL_YR4_N,SD_EARN_WNE_P10,MN_EARN_WNE_P10,GT_28K_P6,NUM4
University of the Cumberlands,KY,1,3,2,17,3874,12036,0.1823,35748,0.3268,0.065,0.065,0.432677761,10000,0.621794872,5,10,7649,294,0.3376,0.403,172.9752639,16667,27300,5900,16400,36900,48800,0.458383595,0.5261959,0.8895613,17953,0.198156682,0.6238,48,609,588,73,482,179,26400,38200,0.476,357
Eastern Kentucky University,KY,1,3,1,18,16155,3200,0.1468,22396,0.4678,0.091,0.102,0.357771261,15000,0.595390071,5,10,11586,1595,0.395,0.5234,237.652881,22899,29800,7000,18500,42300,54900,0.430739758,0.484603595,0.8777126,13845,0.278374456,0.7301,464,4259,2993,417,2448,962,25800,39300,0.539,1749
Elizabethtown Community and Technical College,KY,1,1,1,6,9902,0,0.5005,10833,0.3314,0.214,0.189,0.168615984,6334,0.439065109,0,5,,10,0.3129,0.1553,111.1931948,10714,23800,5000,12200,35400,49300,0.26173097,0.314256515,0.6120858,4765,0.56095936,0.5938,364,2142,1256,796,1813,239,21500,31400,0.402,507
Frontier Nursing University,KY,1,4,2,26,,2702,,0,0,0.026,0.019,,,,,,,,NULL,NULL,,,,,,,,,,#DIV/0!,0,,0,,,,,,,,,,0
Georgetown College,KY,1,3,2,21,1100,907,0.051,49761,0.5847,0.043,0.064,0.392,16247,0.680327869,20,30,13699,255,0.3519,0.6679,280.2143233,27000,31400,10600,20300,40900,55100,0.606884058,0.673805601,0.948,19186,0.204152249,0.6295,26,360,237,13,152,98,38900,50500,0.583,264
PJ's College of Cosmetology-Glasgow,KY,1,1,3,-2,71,0,0,15721,0.75,0.153,0.181,,6917,,0,10,,,0.6901,0.5352,,9833,13700,,,,,0.238636364,0.261904762,0,11317,0.675,0.6,,,,,,,,,0.076,12
Hazard Community and Technical College,KY,1,1,1,6,4613,0,0.3614,12144,0.3529,0.252,0.288,0.236509759,6592,0.373177843,0,5,,,0.377,0.1625,95.66724562,9218,20200,3000,10500,32100,55100,0.193621868,0.229618549,0.52124,5685,0.577708006,0.5339,344,838,454,417,817,54,22100,28400,0.32,288
Paul Mitchell the School-Louisville,KY,1,1,3,-2,238,0,0.2078,18009,0.2,0.143,0.135,0.636363636,9833,0.42384106,5,15,7069,40,0.4034,0.5126,102.0499052,9833,15800,,,,,0.293478261,0.35,0,15331,0.344537815,0.875,,,,,94,38,22300,18400,0.204,21
Henderson Community College,KY,1,1,1,5,2039,0,0.5438,11251,0.2697,0.187,0.161,0.204198473,8000,0.492890995,0,5,,,0.4503,0.2409,129.7288534,12500,24700,5300,13500,37200,50600,0.275581395,0.327251995,0.6545802,5263,0.524590164,0.5238,113,551,343,181,455,69,22200,31100,0.43,126
Hopkinsville Community College,KY,1,1,1,2,3683,0,0.5364,11418,0.36,0.151,0.163,0.186602871,7500,0.451827243,0,5,,,0.4712,0.1898,113.6424755,10950,22600,4800,11600,36400,52000,0.249167592,0.294023479,0.460925,5205,0.49404117,0.6026,276,1286,578,676,1161,93,23100,31500,0.399,108
